toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad
"1017.01","FP",1.1042200,2.3700000,14177.7000000,21.0448000,3926.0000000,39459.3000000,6995.2000000,4.0700000,1.6100000
"1018.01","FP",4.9591200,2.5090000,7440.0000000,22.9123000,1419.0000000,673.5500000,5889.0000000,3.8600000,2.0000000
"1019.01","PC",5.2341008,3.7078139,20796.9416293,24.2931408,1574.8381848,1453.6663847,7645.0000000,4.3000000,1.5620300
"102.01","KP",4.4119372,3.6321285,14711.8810303,15.0648739,1819.1138579,1817.8873612,6280.0000000,4.3209200,1.2100000
"1020.01","FP",3.2889200,3.7930000,10518.9000000,,3661.0000000,29832.6000000,8734.2000000,4.1000000,
"1021.01","FP",1.9087900,1.9090000,618.4820000,3.3468800,1561.0000000,985.8070000,6022.6000000,4.5200000,1.2200000
"1022.01","FA",3.0957400,4.4750000,380.0000000,3.4262000,3230.0000000,18087.9000000,6084.0000000,4.1300000,1.4100000
"1023.01","FP",1.3214483,3.4350000,2180.0000000,21.8839000,3827.0000000,35623.2000000,5050.8000000,3.5600000,2.9900000
"1024.01","FP",18.0157000,2.5240000,610.0000000,21.6440000,463.0000000,7.6436400,4709.0000000,,7.6100000
"1025.01","FP",9.6837908,1.6988586,4965.2496516,25.3602704,1985.0771972,2575.8141907,8598.7000000,,
"1026.01","FP",14.2628757,6.9350494,913.2067174,2.4765813,980.3628831,153.2069421,5690.0000000,4.5800000,0.8538980
"1027.01","PC",3.2834565,1.5370000,1558.0000000,2.8764800,992.0000000,161.0920000,4272.0000000,4.6000000,0.6800000
"1027.02","PC",11.0287500,2.7150000,1694.0000000,2.7658600,548.0000000,15.0463000,4272.0000000,4.6000000,0.6800000
"1027.03","PC",5.0113292,1.0240000,1210.0000000,2.5231400,567.0000000,17.1793000,4272.0000000,4.6000000,0.6800000
"1028.01","FP",1.0160600,2.8430000,240.0000000,1.2070400,2023.0000000,2784.0400000,4634.0000000,4.6400000,0.6800000
"1029.01","FP",36.2221400,5.1070000,7170.0000000,,,,,,
"103.01","KP",3.5478540,3.4943330,10424.3718000,14.5818410,1504.8589530,1212.0043760,6351.0000000,4.2289600,1.4000000
"1030.01","FP",12.1246519,4.6120000,7279.0000000,17.6729000,1057.0000000,207.3200000,4807.6000000,4.1700000,1.0700000
"1031.01","FP",5.6526230,3.4340000,1250.0000000,8.9435400,2011.0000000,2717.0600000,6415.4000000,3.9800000,1.9200000
"1032.01","PC",5.6643704,3.8087395,3491.8232968,14.7738943,2385.8536488,7657.6621505,10395.0000000,4.1300000,2.3383701
"1033.01","FP",29.0161646,5.3450000,1238.3381592,6.8208109,,33.2234000,6113.1000000,,2.0100000
"1034.01","FP",3.6404389,2.5339234,476.3077321,3.7025342,2783.0980270,9941.2265514,9810.0000000,4.4300000,1.6077600
"1035.01","PC",6.0744477,2.4954821,5982.5212406,30.9493217,1583.9398898,1487.5644344,5964.0000000,3.7000000,2.4303801
"1036.01","PC",3.7795212,2.9520000,2761.0000000,5.9837500,1294.0000000,466.5280000,5771.0000000,4.3100000,1.1800000
"1037.01","FP",1.2025238,1.9910000,390.0000000,6.3110600,5952.0000000,208477.0000000,9158.0000000,4.3200000,1.7400000
"1038.01","FP",3.2235985,2.1590000,680.0000000,5.5134100,,2064.8000000,8904.0000000,4.0900000,2.1700000
"1039.01","APC",4.4201250,3.9560000,2466.0000000,,,,,,
"104.01","KP",4.0872956,5.5861130,3572.1712499,13.6237732,1755.0767383,2242.3605401,6036.0000000,3.9335900,2.2186699
"1040.01","FP",2.5555500,1.5660000,397.9246747,12.5272602,2145.0000000,3520.6800000,10037.0000000,,6.0400000
"1041.01","FP",8.3079200,3.2280000,8350.0000000,43.1068000,1924.0000000,2276.2500000,9081.0000000,3.8300000,3.0500000
"1042.01","FP",0.7580820,1.8184632,583.9318100,10.1273702,5499.7476332,216218.1005011,9917.0000000,3.7500000,3.5086601
"1043.01","FP",1.4415577,2.3490000,507.0000000,3.6107800,3174.0000000,16861.8000000,6902.0000000,4.2500000,1.5200000
"1044.01","PC",1.0085089,1.6420000,3051.0000000,,,,5215.2000000,,
